date;Far right;Mobile games;Saatchi gallery;Magnum;air travel;isPartial
2022-01-01;7;20;0;70;16;False
2022-01-02;12;17;10;90;30;False
2022-01-03;5;12;6;75;24;False
2022-01-04;7;10;7;64;26;False
2022-01-05;4;11;11;53;36;False
2022-01-06;4;21;7;68;29;False
2022-01-07;5;16;5;66;30;False
2022-01-08;7;14;4;70;34;False
2022-01-09;3;24;7;78;26;False
2022-01-10;9;20;11;65;46;False
2022-01-11;18;15;3;64;37;False
2022-01-12;8;16;6;65;32;False
2022-01-13;8;4;6;63;47;False
2022-01-14;2;15;7;69;40;False
2022-01-15;4;24;14;88;31;False
2022-01-16;10;27;5;76;34;False
2022-01-17;8;17;7;53;31;False
2022-01-18;5;17;2;62;28;False
2022-01-19;11;20;3;64;35;False
2022-01-20;6;19;17;56;26;False
2022-01-21;5;10;10;63;18;False
2022-01-22;2;16;7;65;25;False
2022-01-23;5;22;8;81;33;False
2022-01-24;10;18;21;100;46;False
2022-01-25;2;20;13;57;23;False
2022-01-26;2;13;7;60;30;False
2022-01-27;7;14;4;50;34;False
2022-01-28;4;18;7;68;23;False
2022-01-29;4;15;14;80;28;False
2022-01-30;13;14;10;60;34;False
2022-01-31;7;16;8;51;39;False
