date;PayPal;Medicine;Claire Foy;Bed and breakfasts;air travel;isPartial
2022-01-01;71;32;19;0;2;False
2022-01-02;73;38;10;1;3;False
2022-01-03;79;36;6;1;3;False
2022-01-04;100;41;7;1;3;False
2022-01-05;95;40;4;0;4;False
2022-01-06;88;35;3;1;3;False
2022-01-07;91;32;3;0;3;False
2022-01-08;81;32;7;0;4;False
2022-01-09;79;33;4;0;3;False
2022-01-10;100;41;2;1;5;False
2022-01-11;86;36;3;0;4;False
2022-01-12;93;41;2;1;3;False
2022-01-13;99;42;1;1;5;False
2022-01-14;89;33;4;1;4;False
2022-01-15;87;32;2;1;3;False
2022-01-16;84;38;2;1;4;False
2022-01-17;89;40;1;0;3;False
2022-01-18;88;38;1;0;3;False
2022-01-19;81;35;1;0;4;False
2022-01-20;80;38;1;0;3;False
2022-01-21;88;36;2;0;2;False
2022-01-22;78;32;2;0;3;False
2022-01-23;77;34;2;1;4;False
2022-01-24;100;47;2;0;5;False
2022-01-25;87;40;2;0;3;False
2022-01-26;91;38;1;0;3;False
2022-01-27;91;35;1;0;4;False
2022-01-28;95;36;2;0;3;False
2022-01-29;82;33;3;0;3;False
2022-01-30;80;31;1;0;4;False
2022-01-31;98;37;1;0;4;False
