date;algeria;david davis;earth observation;british antarctic survey;air travel;isPartial
2022-01-01;14;2;0;1;5;False
2022-01-02;8;2;0;1;9;False
2022-01-03;9;1;1;0;7;False
2022-01-04;12;2;0;0;7;False
2022-01-05;29;3;0;0;11;False
2022-01-06;12;2;0;0;8;False
2022-01-07;12;4;0;0;9;False
2022-01-08;12;2;0;1;10;False
2022-01-09;16;2;2;0;8;False
2022-01-10;16;2;0;0;13;False
2022-01-11;66;2;1;0;11;False
2022-01-12;17;2;0;0;9;False
2022-01-13;13;2;0;0;14;False
2022-01-14;12;3;1;0;12;False
2022-01-15;16;5;0;0;9;False
2022-01-16;61;2;1;0;10;False
2022-01-17;21;1;0;1;9;False
2022-01-18;14;0;1;0;8;False
2022-01-19;14;100;1;0;10;False
2022-01-20;67;21;0;2;7;False
2022-01-21;11;8;0;0;5;False
2022-01-22;14;4;0;0;7;False
2022-01-23;11;2;1;0;10;False
2022-01-24;7;3;0;0;13;False
2022-01-25;8;2;0;0;7;False
2022-01-26;10;3;0;1;9;False
2022-01-27;8;3;0;0;10;False
2022-01-28;8;1;0;0;7;False
2022-01-29;7;1;0;0;8;False
2022-01-30;9;4;0;1;10;False
2022-01-31;8;3;1;1;11;False
