date;wiltshire;murray v djokovic;duchess of cambridge;alec baldwin;air travel;isPartial
2022-01-01;78;0;14;5;7;False
2022-01-02;77;1;9;6;12;False
2022-01-03;77;0;8;10;10;False
2022-01-04;86;0;7;5;10;False
2022-01-05;74;0;5;8;15;False
2022-01-06;76;0;7;8;12;False
2022-01-07;68;1;11;7;12;False
2022-01-08;70;0;20;13;14;False
2022-01-09;85;0;71;7;11;False
2022-01-10;100;0;21;7;19;False
2022-01-11;92;0;11;6;15;False
2022-01-12;74;0;9;8;13;False
2022-01-13;84;0;10;10;19;False
2022-01-14;67;0;5;10;16;False
2022-01-15;66;0;5;11;13;False
2022-01-16;84;0;5;5;14;False
2022-01-17;93;1;9;2;13;False
2022-01-18;70;0;5;7;11;False
2022-01-19;76;0;5;5;14;False
2022-01-20;76;2;9;9;10;False
2022-01-21;66;0;7;6;7;False
2022-01-22;55;0;6;8;10;False
2022-01-23;72;1;2;9;13;False
2022-01-24;90;0;6;8;19;False
2022-01-25;81;0;6;4;10;False
2022-01-26;76;0;8;6;12;False
2022-01-27;71;0;3;4;14;False
2022-01-28;81;0;9;5;10;False
2022-01-29;67;0;16;3;12;False
2022-01-30;59;0;9;6;14;False
2022-01-31;75;0;5;6;16;False
