date;air travel;isPartial
2022-01-01;39;False
2022-01-02;74;False
2022-01-03;57;False
2022-01-04;60;False
2022-01-05;85;False
2022-01-06;67;False
2022-01-07;65;False
2022-01-08;79;False
2022-01-09;49;False
2022-01-10;100;False
2022-01-11;71;False
2022-01-12;82;False
2022-01-13;94;False
2022-01-14;81;False
2022-01-15;79;False
2022-01-16;93;False
2022-01-17;58;False
2022-01-18;52;False
2022-01-19;79;False
2022-01-20;52;False
2022-01-21;51;False
2022-01-22;46;False
2022-01-23;80;False
2022-01-24;91;False
2022-01-25;55;False
2022-01-26;72;False
2022-01-27;66;False
2022-01-28;69;False
2022-01-29;55;False
2022-01-30;73;False
2022-01-31;87;False
