date;wales;extreme weather;climate crisis;colombia;air travel;isPartial
2022-01-01;48;0;0;2;0;False
2022-01-02;53;0;0;3;1;False
2022-01-03;50;0;0;2;1;False
2022-01-04;59;0;0;2;1;False
2022-01-05;56;0;0;2;1;False
2022-01-06;50;0;0;2;1;False
2022-01-07;51;0;0;3;1;False
2022-01-08;50;0;0;3;1;False
2022-01-09;47;0;0;3;1;False
2022-01-10;56;0;0;2;1;False
2022-01-11;49;0;0;2;1;False
2022-01-12;44;0;0;2;1;False
2022-01-13;49;0;0;2;1;False
2022-01-14;48;0;0;2;1;False
2022-01-15;47;0;0;3;1;False
2022-01-16;50;0;0;3;1;False
2022-01-17;51;0;0;2;1;False
2022-01-18;49;0;0;2;1;False
2022-01-19;44;0;0;2;1;False
2022-01-20;46;0;0;2;1;False
2022-01-21;48;0;0;2;1;False
2022-01-22;42;0;0;2;1;False
2022-01-23;41;0;0;3;1;False
2022-01-24;59;0;0;3;1;False
2022-01-25;48;0;0;2;1;False
2022-01-26;45;0;0;2;1;False
2022-01-27;47;0;0;2;1;False
2022-01-28;51;0;0;8;1;False
2022-01-29;100;0;0;5;1;False
2022-01-30;55;0;0;2;1;False
2022-01-31;54;0;0;2;1;False
