date;Cake;Australian Capital Territory (ACT);Borussia Dortmund;Erling Haaland;air travel;isPartial
2022-01-01;61;0;0;1;1;False
2022-01-02;69;0;0;0;2;False
2022-01-03;64;0;0;0;1;False
2022-01-04;59;0;0;1;1;False
2022-01-05;64;0;0;0;2;False
2022-01-06;62;0;0;1;2;False
2022-01-07;68;0;0;1;2;False
2022-01-08;93;0;2;1;2;False
2022-01-09;83;0;1;1;1;False
2022-01-10;73;0;0;0;2;False
2022-01-11;69;0;0;1;2;False
2022-01-12;66;0;0;0;2;False
2022-01-13;74;0;0;0;2;False
2022-01-14;65;0;1;1;2;False
2022-01-15;100;0;1;1;2;False
2022-01-16;91;0;0;1;2;False
2022-01-17;72;0;0;1;2;False
2022-01-18;67;0;1;1;1;False
2022-01-19;60;0;0;1;2;False
2022-01-20;68;0;0;0;1;False
2022-01-21;69;0;0;0;1;False
2022-01-22;89;0;1;0;1;False
2022-01-23;95;0;1;0;2;False
2022-01-24;81;0;0;0;2;False
2022-01-25;82;0;0;0;1;False
2022-01-26;71;0;0;1;2;False
2022-01-27;69;0;0;1;2;False
2022-01-28;76;0;0;1;1;False
2022-01-29;96;0;0;1;1;False
2022-01-30;87;0;0;1;2;False
2022-01-31;66;0;0;0;2;False
