date;mafia;pamela anderson;daily climate show;interest rates;air travel;isPartial
2022-01-01;58;10;0;21;8;False
2022-01-02;51;4;0;28;15;False
2022-01-03;47;4;0;33;12;False
2022-01-04;43;4;0;37;13;False
2022-01-05;47;12;0;43;18;False
2022-01-06;32;20;0;48;14;False
2022-01-07;42;19;0;41;15;False
2022-01-08;56;13;0;33;17;False
2022-01-09;46;10;0;34;13;False
2022-01-10;36;15;0;42;23;False
2022-01-11;32;10;0;47;18;False
2022-01-12;37;6;0;42;16;False
2022-01-13;38;3;0;46;23;False
2022-01-14;40;12;0;35;20;False
2022-01-15;48;17;0;37;16;False
2022-01-16;49;5;0;28;17;False
2022-01-17;38;6;0;51;15;False
2022-01-18;30;5;0;45;14;False
2022-01-19;30;11;0;65;17;False
2022-01-20;25;26;0;44;13;False
2022-01-21;32;35;0;42;9;False
2022-01-22;45;17;0;34;12;False
2022-01-23;43;6;0;36;16;False
2022-01-24;38;13;0;53;23;False
2022-01-25;31;12;0;48;12;False
2022-01-26;31;23;0;64;15;False
2022-01-27;33;44;0;51;17;False
2022-01-28;33;35;0;48;12;False
2022-01-29;39;35;0;33;14;False
2022-01-30;41;35;0;43;17;False
2022-01-31;41;30;0;100;19;False
