date;Tea Party movement;Compost;Jo Cox;Danny Dyer;air travel;isPartial
2022-01-01;0;16;0;5;4;False
2022-01-02;0;22;1;5;8;False
2022-01-03;0;21;0;4;7;False
2022-01-04;0;16;0;3;7;False
2022-01-05;0;14;0;3;10;False
2022-01-06;0;11;1;3;8;False
2022-01-07;0;16;0;6;8;False
2022-01-08;0;17;1;17;9;False
2022-01-09;0;23;1;100;7;False
2022-01-10;0;16;0;18;13;False
2022-01-11;0;17;0;13;10;False
2022-01-12;1;17;0;13;9;False
2022-01-13;1;20;0;9;13;False
2022-01-14;0;17;0;10;11;False
2022-01-15;0;25;0;17;9;False
2022-01-16;0;29;0;12;9;False
2022-01-17;3;18;0;5;8;False
2022-01-18;0;18;0;7;8;False
2022-01-19;0;18;0;6;10;False
2022-01-20;0;14;0;4;7;False
2022-01-21;0;18;1;5;5;False
2022-01-22;1;22;0;17;7;False
2022-01-23;0;24;0;7;9;False
2022-01-24;1;20;0;4;13;False
2022-01-25;0;20;1;3;6;False
2022-01-26;0;13;0;3;8;False
2022-01-27;1;15;0;2;9;False
2022-01-28;0;18;1;5;6;False
2022-01-29;0;20;0;7;8;False
2022-01-30;0;26;0;4;9;False
2022-01-31;1;17;1;3;11;False
