date;Jamie Lloyd;James McAvoy;Joe Wright;Derek Jacobi;air travel;isPartial
2022-01-01;0;6;1;2;9;False
2022-01-02;0;14;2;3;17;False
2022-01-03;0;10;0;3;14;False
2022-01-04;3;7;0;0;15;False
2022-01-05;0;9;0;0;21;False
2022-01-06;0;11;0;4;17;False
2022-01-07;0;5;0;0;17;False
2022-01-08;0;9;0;0;19;False
2022-01-09;2;12;6;3;15;False
2022-01-10;0;10;7;3;26;False
2022-01-11;0;5;1;1;21;False
2022-01-12;0;7;0;0;18;False
2022-01-13;0;3;0;0;27;False
2022-01-14;0;6;0;0;23;False
2022-01-15;2;13;0;0;18;False
2022-01-16;1;9;2;0;20;False
2022-01-17;0;8;2;0;18;False
2022-01-18;0;8;0;1;16;False
2022-01-19;0;6;0;0;20;False
2022-01-20;0;3;0;2;15;False
2022-01-21;0;19;0;4;10;False
2022-01-22;3;31;2;0;14;False
2022-01-23;0;23;0;0;19;False
2022-01-24;0;21;4;0;26;False
2022-01-25;3;10;0;1;13;False
2022-01-26;0;13;0;2;17;False
2022-01-27;2;11;2;0;19;False
2022-01-28;1;100;0;2;13;False
2022-01-29;0;90;0;2;16;False
2022-01-30;0;28;0;2;19;False
2022-01-31;0;18;0;2;22;False
