date;Michael Palin;Private Eye;Butterflies;Northamptonshire;air travel;isPartial
2022-01-01;12;13;34;47;18;False
2022-01-02;12;6;41;62;33;False
2022-01-03;4;14;39;64;27;False
2022-01-04;5;18;34;76;28;False
2022-01-05;7;11;48;78;40;False
2022-01-06;3;21;29;75;32;False
2022-01-07;4;15;28;68;33;False
2022-01-08;49;13;68;74;37;False
2022-01-09;10;8;69;67;29;False
2022-01-10;8;21;43;96;50;False
2022-01-11;7;16;44;100;41;False
2022-01-12;6;13;46;81;35;False
2022-01-13;0;12;50;88;52;False
2022-01-14;0;17;59;86;43;False
2022-01-15;27;15;50;68;34;False
2022-01-16;13;16;50;68;37;False
2022-01-17;6;15;45;75;34;False
2022-01-18;3;16;35;74;31;False
2022-01-19;3;21;32;90;39;False
2022-01-20;9;12;39;83;28;False
2022-01-21;7;13;44;64;20;False
2022-01-22;24;12;42;53;28;False
2022-01-23;5;2;48;59;36;False
2022-01-24;9;8;27;86;50;False
2022-01-25;0;32;36;73;26;False
2022-01-26;8;28;29;83;33;False
2022-01-27;5;26;41;69;37;False
2022-01-28;4;18;39;54;26;False
2022-01-29;26;29;36;47;31;False
2022-01-30;10;21;47;54;37;False
2022-01-31;0;16;42;72;43;False
