date;Nottinghamshire;French Alps shootings;European Challenge Cup;Scarlets;air travel;isPartial
2022-01-01;52;0;0;80;17;False
2022-01-02;56;0;0;7;32;False
2022-01-03;60;0;0;9;26;False
2022-01-04;67;0;0;7;27;False
2022-01-05;63;0;0;7;39;False
2022-01-06;60;0;0;0;31;False
2022-01-07;54;3;0;0;32;False
2022-01-08;53;0;0;6;36;False
2022-01-09;54;0;0;7;28;False
2022-01-10;74;0;0;9;49;False
2022-01-11;74;0;6;4;40;False
2022-01-12;59;2;0;4;34;False
2022-01-13;70;0;0;9;50;False
2022-01-14;67;0;3;18;42;False
2022-01-15;58;0;11;15;33;False
2022-01-16;64;0;0;36;36;False
2022-01-17;78;12;0;8;33;False
2022-01-18;59;0;0;12;30;False
2022-01-19;66;10;0;10;38;False
2022-01-20;77;0;0;13;27;False
2022-01-21;58;0;6;23;19;False
2022-01-22;57;0;7;100;27;False
2022-01-23;65;0;21;27;35;False
2022-01-24;94;0;8;14;49;False
2022-01-25;80;0;3;8;25;False
2022-01-26;68;0;0;9;32;False
2022-01-27;57;0;0;11;36;False
2022-01-28;54;0;0;57;25;False
2022-01-29;53;3;0;15;30;False
2022-01-30;60;0;0;16;36;False
2022-01-31;91;0;0;8;42;False
