date;René Magritte;Chelsea flower show;Childcare;US Postal Service;air travel;isPartial
2022-01-01;0;3;40;0;4;False
2022-01-02;1;2;53;0;8;False
2022-01-03;0;3;68;0;6;False
2022-01-04;3;2;100;0;7;False
2022-01-05;2;1;96;0;9;False
2022-01-06;0;2;80;1;7;False
2022-01-07;0;1;64;0;8;False
2022-01-08;0;4;35;0;9;False
2022-01-09;0;1;43;0;7;False
2022-01-10;0;2;85;0;12;False
2022-01-11;2;4;79;0;10;False
2022-01-12;0;2;73;0;8;False
2022-01-13;0;2;73;0;12;False
2022-01-14;0;3;59;0;10;False
2022-01-15;0;1;37;0;8;False
2022-01-16;0;3;42;0;9;False
2022-01-17;0;0;70;0;8;False
2022-01-18;1;3;70;0;7;False
2022-01-19;1;2;63;0;9;False
2022-01-20;0;3;64;0;7;False
2022-01-21;0;1;62;0;5;False
2022-01-22;0;1;38;0;6;False
2022-01-23;0;1;39;0;8;False
2022-01-24;0;4;86;0;12;False
2022-01-25;1;4;76;0;6;False
2022-01-26;0;2;79;0;8;False
2022-01-27;0;4;73;0;9;False
2022-01-28;0;3;69;0;6;False
2022-01-29;0;3;44;0;7;False
2022-01-30;0;3;51;1;9;False
2022-01-31;0;1;99;0;10;False
