date;dave;dua lipa;elton john;fleetwood mac;air travel;isPartial
2022-01-01;63;25;48;11;3;False
2022-01-02;68;12;30;13;6;False
2022-01-03;62;12;20;6;5;False
2022-01-04;70;10;57;6;5;False
2022-01-05;72;9;24;7;7;False
2022-01-06;75;9;18;7;6;False
2022-01-07;67;12;19;7;6;False
2022-01-08;65;12;29;26;7;False
2022-01-09;67;13;49;10;5;False
2022-01-10;62;12;19;6;9;False
2022-01-11;66;9;16;7;8;False
2022-01-12;62;14;16;6;7;False
2022-01-13;61;13;17;8;10;False
2022-01-14;66;12;15;7;8;False
2022-01-15;76;18;29;8;6;False
2022-01-16;67;17;22;8;7;False
2022-01-17;57;11;16;6;6;False
2022-01-18;61;10;12;4;6;False
2022-01-19;57;8;11;5;7;False
2022-01-20;59;9;12;6;5;False
2022-01-21;68;11;22;6;4;False
2022-01-22;89;11;25;12;5;False
2022-01-23;100;10;25;8;7;False
2022-01-24;76;11;19;8;9;False
2022-01-25;62;8;22;6;5;False
2022-01-26;64;9;26;5;6;False
2022-01-27;58;10;16;7;7;False
2022-01-28;69;12;22;7;5;False
2022-01-29;69;13;28;10;6;False
2022-01-30;80;9;21;7;7;False
2022-01-31;59;7;13;7;8;False
