date;trees;california wildfires;forest;california;air travel;isPartial
2022-01-01;11;0;36;9;0;False
2022-01-02;13;0;36;8;1;False
2022-01-03;12;0;36;8;1;False
2022-01-04;11;0;35;7;1;False
2022-01-05;11;0;30;7;1;False
2022-01-06;10;0;28;6;1;False
2022-01-07;10;0;32;6;1;False
2022-01-08;10;0;36;7;1;False
2022-01-09;12;0;100;7;1;False
2022-01-10;11;0;38;7;1;False
2022-01-11;9;0;31;7;1;False
2022-01-12;11;0;31;7;1;False
2022-01-13;10;0;32;7;1;False
2022-01-14;9;0;30;6;1;False
2022-01-15;11;0;45;10;1;False
2022-01-16;12;0;38;10;1;False
2022-01-17;10;0;33;8;1;False
2022-01-18;9;0;32;7;1;False
2022-01-19;7;0;26;6;1;False
2022-01-20;8;0;26;7;1;False
2022-01-21;9;0;28;7;1;False
2022-01-22;10;0;63;7;1;False
2022-01-23;12;0;35;9;1;False
2022-01-24;12;0;34;8;1;False
2022-01-25;9;0;37;7;1;False
2022-01-26;9;0;32;6;1;False
2022-01-27;8;0;27;6;1;False
2022-01-28;9;0;30;8;1;False
2022-01-29;11;0;35;8;1;False
2022-01-30;11;0;43;8;1;False
2022-01-31;11;0;35;7;1;False
