date;Darts;Sheridan Smith;Donald Trump Jr;Easter;air travel;isPartial
2022-01-01;74;1;0;15;0;False
2022-01-02;92;1;0;17;1;False
2022-01-03;100;3;0;17;1;False
2022-01-04;23;4;0;18;1;False
2022-01-05;10;3;0;16;1;False
2022-01-06;8;2;0;14;1;False
2022-01-07;8;2;0;14;1;False
2022-01-08;9;2;0;14;1;False
2022-01-09;10;2;0;17;1;False
2022-01-10;8;2;0;16;1;False
2022-01-11;7;1;0;15;1;False
2022-01-12;8;1;0;14;1;False
2022-01-13;8;1;0;15;1;False
2022-01-14;8;1;0;12;1;False
2022-01-15;10;1;0;14;1;False
2022-01-16;7;1;0;18;1;False
2022-01-17;6;1;0;16;1;False
2022-01-18;5;1;0;13;1;False
2022-01-19;4;1;0;13;1;False
2022-01-20;5;1;0;13;1;False
2022-01-21;6;1;0;13;0;False
2022-01-22;6;2;0;13;1;False
2022-01-23;5;2;0;14;1;False
2022-01-24;5;3;0;16;1;False
2022-01-25;4;2;0;13;1;False
2022-01-26;4;2;0;14;1;False
2022-01-27;4;2;0;13;1;False
2022-01-28;12;2;0;13;1;False
2022-01-29;17;3;0;14;1;False
2022-01-30;26;3;0;16;1;False
2022-01-31;13;7;0;16;1;False
