date;French presidential election 2022;BBC World Service;School meals;Jamie Oliver;air travel;isPartial
2022-01-01;0;1;6;100;6;False
2022-01-02;0;2;8;90;11;False
2022-01-03;0;2;9;93;9;False
2022-01-04;0;2;18;56;10;False
2022-01-05;4;4;13;62;14;False
2022-01-06;0;3;18;60;11;False
2022-01-07;0;2;16;63;11;False
2022-01-08;0;0;6;98;13;False
2022-01-09;0;0;14;96;10;False
2022-01-10;0;3;24;59;17;False
2022-01-11;1;3;12;64;14;False
2022-01-12;0;4;16;50;12;False
2022-01-13;1;1;19;60;18;False
2022-01-14;1;2;7;58;15;False
2022-01-15;0;0;4;78;12;False
2022-01-16;0;4;11;94;13;False
2022-01-17;0;4;14;54;12;False
2022-01-18;1;2;13;47;11;False
2022-01-19;0;3;14;42;13;False
2022-01-20;3;0;13;51;10;False
2022-01-21;1;1;11;51;7;False
2022-01-22;0;0;6;77;10;False
2022-01-23;1;3;10;81;12;False
2022-01-24;6;3;16;69;17;False
2022-01-25;1;3;9;53;9;False
2022-01-26;0;2;13;52;11;False
2022-01-27;0;5;14;44;13;False
2022-01-28;0;3;11;52;9;False
2022-01-29;0;5;3;73;11;False
2022-01-30;1;2;12;77;13;False
2022-01-31;0;4;19;63;15;False
