date;Jacob Rees-Mogg;Paris fashion week;Kim Jones;Collecting;air travel;isPartial
2022-01-01;0;0;0;78;31;False
2022-01-02;0;0;0;88;58;False
2022-01-03;0;6;0;100;47;False
2022-01-04;0;0;0;66;50;False
2022-01-05;0;6;8;86;71;False
2022-01-06;4;11;0;84;56;False
2022-01-07;0;0;11;81;58;False
2022-01-08;0;0;0;82;66;False
2022-01-09;0;0;5;95;51;False
2022-01-10;5;0;5;83;89;False
2022-01-11;4;8;8;76;73;False
2022-01-12;4;11;7;65;62;False
2022-01-13;23;0;8;92;92;False
2022-01-14;35;0;5;71;77;False
2022-01-15;0;6;0;69;61;False
2022-01-16;9;0;14;68;66;False
2022-01-17;4;5;7;98;60;False
2022-01-18;14;21;0;79;54;False
2022-01-19;0;10;10;68;69;False
2022-01-20;18;23;6;93;50;False
2022-01-21;9;11;8;72;35;False
2022-01-22;0;6;6;44;49;False
2022-01-23;0;7;7;76;63;False
2022-01-24;0;25;12;86;90;False
2022-01-25;17;10;4;69;45;False
2022-01-26;12;10;0;48;59;False
2022-01-27;5;6;6;77;66;False
2022-01-28;6;8;4;74;46;False
2022-01-29;17;7;20;79;55;False
2022-01-30;0;0;0;68;66;False
2022-01-31;0;6;0;97;76;False
