date;cressida dick;us economy;economic growth;us armed forces;air travel;isPartial
2022-01-01;0;4;0;0;15;False
2022-01-02;0;3;9;0;28;False
2022-01-03;3;0;4;3;23;False
2022-01-04;7;8;15;0;24;False
2022-01-05;0;3;17;0;34;False
2022-01-06;0;3;9;0;27;False
2022-01-07;0;3;4;3;28;False
2022-01-08;0;4;10;0;32;False
2022-01-09;0;0;16;0;24;False
2022-01-10;0;3;13;0;43;False
2022-01-11;0;3;16;0;35;False
2022-01-12;7;4;15;0;30;False
2022-01-13;3;4;20;0;44;False
2022-01-14;0;3;13;3;37;False
2022-01-15;4;0;11;0;29;False
2022-01-16;0;2;16;4;32;False
2022-01-17;5;3;13;0;29;False
2022-01-18;2;2;16;2;26;False
2022-01-19;0;5;11;0;33;False
2022-01-20;5;5;14;0;24;False
2022-01-21;5;0;5;0;17;False
2022-01-22;4;3;5;0;24;False
2022-01-23;0;0;13;0;30;False
2022-01-24;2;4;14;0;43;False
2022-01-25;88;4;16;0;22;False
2022-01-26;41;0;12;0;28;False
2022-01-27;10;5;15;0;32;False
2022-01-28;100;7;12;0;22;False
2022-01-29;64;0;7;4;27;False
2022-01-30;51;0;8;2;32;False
2022-01-31;48;0;12;2;37;False
