date;West Ham United Women;Everton Women;Alan Titchmarsh;Avocados;air travel;isPartial
2022-01-01;0;0;9;27;34;False
2022-01-02;0;0;46;19;63;False
2022-01-03;7;8;6;21;51;False
2022-01-04;0;0;0;12;54;False
2022-01-05;0;5;0;9;77;False
2022-01-06;0;17;31;23;61;False
2022-01-07;0;0;20;0;63;False
2022-01-08;0;0;24;25;71;False
2022-01-09;0;0;47;15;55;False
2022-01-10;0;0;0;30;97;False
2022-01-11;0;0;9;11;79;False
2022-01-12;0;4;0;24;67;False
2022-01-13;0;0;15;5;100;False
2022-01-14;5;5;0;16;84;False
2022-01-15;0;9;0;10;66;False
2022-01-16;0;0;59;26;72;False
2022-01-17;0;0;8;16;65;False
2022-01-18;0;0;11;17;59;False
2022-01-19;0;4;0;11;74;False
2022-01-20;4;0;22;16;54;False
2022-01-21;0;0;0;15;38;False
2022-01-22;12;12;20;19;53;False
2022-01-23;0;19;38;13;69;False
2022-01-24;6;4;16;16;97;False
2022-01-25;0;0;6;23;49;False
2022-01-26;6;15;0;22;64;False
2022-01-27;0;0;0;23;71;False
2022-01-28;0;0;0;20;49;False
2022-01-29;0;0;5;19;60;False
2022-01-30;0;20;27;20;71;False
2022-01-31;0;0;0;10;82;False
