date;Africa;Horror films;Jazz;Mercury prize;air travel;isPartial
2022-01-01;50;4;21;0;2;False
2022-01-02;63;2;21;0;3;False
2022-01-03;77;3;19;0;3;False
2022-01-04;80;2;19;0;3;False
2022-01-05;82;2;18;0;4;False
2022-01-06;88;2;22;0;3;False
2022-01-07;59;2;21;0;3;False
2022-01-08;61;3;22;0;4;False
2022-01-09;75;3;23;0;3;False
2022-01-10;76;2;23;0;5;False
2022-01-11;96;2;20;1;4;False
2022-01-12;88;2;21;0;4;False
2022-01-13;100;2;22;0;5;False
2022-01-14;79;1;20;0;4;False
2022-01-15;68;3;27;0;4;False
2022-01-16;73;2;25;0;4;False
2022-01-17;63;2;23;1;3;False
2022-01-18;64;2;19;0;3;False
2022-01-19;81;1;20;0;4;False
2022-01-20;65;1;21;0;3;False
2022-01-21;81;2;24;0;2;False
2022-01-22;56;3;24;0;3;False
2022-01-23;90;4;26;1;4;False
2022-01-24;82;1;28;0;5;False
2022-01-25;64;2;22;1;3;False
2022-01-26;69;2;21;0;3;False
2022-01-27;51;2;20;0;4;False
2022-01-28;50;2;23;0;3;False
2022-01-29;64;4;26;0;3;False
2022-01-30;72;2;20;0;4;False
2022-01-31;52;1;20;0;4;False
