date;Jeffrey Epstein;Rape and sexual assault;Law (US);US crime;air travel;isPartial
2022-01-01;52;0;3;4;9;False
2022-01-02;53;0;3;2;17;False
2022-01-03;64;0;4;4;14;False
2022-01-04;64;0;0;4;15;False
2022-01-05;38;0;3;0;21;False
2022-01-06;24;2;5;1;16;False
2022-01-07;24;2;5;1;17;False
2022-01-08;23;2;3;2;19;False
2022-01-09;29;0;2;0;15;False
2022-01-10;19;0;3;0;26;False
2022-01-11;19;0;4;3;21;False
2022-01-12;35;0;6;6;18;False
2022-01-13;45;0;6;0;27;False
2022-01-14;44;0;9;1;23;False
2022-01-15;44;0;5;10;18;False
2022-01-16;28;0;5;0;19;False
2022-01-17;23;2;8;3;17;False
2022-01-18;100;0;4;1;16;False
2022-01-19;31;2;5;1;20;False
2022-01-20;22;1;9;3;15;False
2022-01-21;23;5;4;2;10;False
2022-01-22;21;0;6;2;14;False
2022-01-23;19;0;5;0;19;False
2022-01-24;23;0;9;1;26;False
2022-01-25;16;0;3;3;13;False
2022-01-26;12;0;6;5;17;False
2022-01-27;12;0;6;0;19;False
2022-01-28;14;0;7;4;13;False
2022-01-29;9;0;7;3;16;False
2022-01-30;13;2;6;0;19;False
2022-01-31;8;0;1;3;22;False
