date;Honor Swinton Byrne;Election interference;Bob Marley;Reggae;air travel;isPartial
2022-01-01;0;0;31;24;9;False
2022-01-02;0;0;24;21;16;False
2022-01-03;1;1;22;19;13;False
2022-01-04;3;0;13;19;14;False
2022-01-05;0;0;21;19;20;False
2022-01-06;0;2;16;21;16;False
2022-01-07;0;0;21;14;16;False
2022-01-08;0;0;35;23;18;False
2022-01-09;0;0;33;24;14;False
2022-01-10;0;0;26;19;25;False
2022-01-11;1;0;23;15;20;False
2022-01-12;0;0;19;24;17;False
2022-01-13;0;0;24;25;26;False
2022-01-14;0;0;28;21;22;False
2022-01-15;0;3;26;24;17;False
2022-01-16;3;0;33;22;19;False
2022-01-17;0;0;25;16;17;False
2022-01-18;0;0;23;17;15;False
2022-01-19;2;0;20;18;19;False
2022-01-20;0;0;28;18;14;False
2022-01-21;0;1;28;17;10;False
2022-01-22;2;0;34;29;14;False
2022-01-23;6;0;33;21;18;False
2022-01-24;3;0;39;23;25;False
2022-01-25;2;0;34;21;13;False
2022-01-26;0;2;24;22;16;False
2022-01-27;2;0;23;24;18;False
2022-01-28;0;0;54;32;13;False
2022-01-29;2;0;100;28;15;False
2022-01-30;3;0;46;30;18;False
2022-01-31;6;0;33;23;21;False
