date;Oceans;Chess;Gaza;Samantha Bee;air travel;isPartial
2022-01-01;25;90;3;0;6;False
2022-01-02;20;100;9;2;12;False
2022-01-03;16;82;3;0;10;False
2022-01-04;15;90;4;1;10;False
2022-01-05;21;84;5;1;15;False
2022-01-06;14;85;2;0;12;False
2022-01-07;16;86;0;0;12;False
2022-01-08;22;79;0;0;14;False
2022-01-09;18;83;3;0;11;False
2022-01-10;21;87;2;0;19;False
2022-01-11;18;80;1;0;15;False
2022-01-12;20;86;1;0;13;False
2022-01-13;18;79;5;0;19;False
2022-01-14;18;77;2;0;16;False
2022-01-15;25;99;3;0;13;False
2022-01-16;20;100;4;0;14;False
2022-01-17;16;85;2;0;12;False
2022-01-18;16;81;6;0;11;False
2022-01-19;13;77;1;3;14;False
2022-01-20;13;68;3;0;10;False
2022-01-21;15;88;3;0;7;False
2022-01-22;15;89;0;0;10;False
2022-01-23;17;87;2;2;13;False
2022-01-24;17;87;3;0;19;False
2022-01-25;19;81;3;0;9;False
2022-01-26;15;81;0;0;12;False
2022-01-27;16;75;1;0;14;False
2022-01-28;17;89;2;0;9;False
2022-01-29;15;99;3;0;12;False
2022-01-30;15;85;5;0;14;False
2022-01-31;17;75;4;0;16;False
