date;Jennifer Jason Leigh;US press and publishing;Andrés Manuel López Obrador;Comoros;air travel;isPartial
2022-01-01;1;0;0;0;3;False
2022-01-02;1;0;0;1;6;False
2022-01-03;1;0;0;1;5;False
2022-01-04;0;0;0;0;5;False
2022-01-05;0;0;0;1;8;False
2022-01-06;1;0;0;1;6;False
2022-01-07;0;0;0;2;6;False
2022-01-08;0;0;0;1;7;False
2022-01-09;0;0;1;5;5;False
2022-01-10;1;0;3;44;10;False
2022-01-11;0;0;0;9;8;False
2022-01-12;1;0;0;2;7;False
2022-01-13;0;0;0;3;10;False
2022-01-14;0;0;0;26;8;False
2022-01-15;0;0;0;11;7;False
2022-01-16;0;0;0;6;7;False
2022-01-17;0;0;0;3;6;False
2022-01-18;0;0;0;63;6;False
2022-01-19;0;0;0;28;7;False
2022-01-20;0;0;0;9;5;False
2022-01-21;0;0;0;6;4;False
2022-01-22;0;0;1;8;5;False
2022-01-23;0;0;0;13;7;False
2022-01-24;0;0;1;100;10;False
2022-01-25;0;0;1;34;5;False
2022-01-26;0;0;0;5;6;False
2022-01-27;2;0;0;3;7;False
2022-01-28;0;0;0;1;5;False
2022-01-29;0;0;0;6;6;False
2022-01-30;0;0;0;3;7;False
2022-01-31;0;0;2;0;8;False
