date;Tax avoidance;Nail varnish;Nail art;Chris Brown;air travel;isPartial
2022-01-01;6;68;6;34;13;False
2022-01-02;3;77;21;25;24;False
2022-01-03;3;67;20;10;20;False
2022-01-04;6;38;16;22;21;False
2022-01-05;6;36;24;24;29;False
2022-01-06;3;38;26;24;23;False
2022-01-07;3;49;21;28;24;False
2022-01-08;0;66;19;29;27;False
2022-01-09;0;57;12;27;21;False
2022-01-10;6;32;19;18;37;False
2022-01-11;4;35;17;20;30;False
2022-01-12;4;36;20;19;26;False
2022-01-13;0;28;20;19;38;False
2022-01-14;0;29;18;28;32;False
2022-01-15;0;39;18;27;25;False
2022-01-16;5;54;18;17;28;False
2022-01-17;0;25;17;18;25;False
2022-01-18;2;22;16;22;23;False
2022-01-19;8;21;14;20;28;False
2022-01-20;2;23;15;16;21;False
2022-01-21;2;17;16;25;14;False
2022-01-22;0;22;25;22;20;False
2022-01-23;0;29;23;18;26;False
2022-01-24;5;20;11;25;37;False
2022-01-25;5;21;22;16;19;False
2022-01-26;7;19;17;21;24;False
2022-01-27;7;19;21;17;27;False
2022-01-28;2;17;13;100;19;False
2022-01-29;2;16;23;65;23;False
2022-01-30;3;21;25;50;27;False
2022-01-31;7;22;19;47;32;False
