date;arlo parks;harry styles;kanye west;missouri;air travel;isPartial
2022-01-01;0;12;5;2;2;False
2022-01-02;1;9;5;2;3;False
2022-01-03;1;10;5;1;2;False
2022-01-04;1;9;6;2;3;False
2022-01-05;0;8;7;2;4;False
2022-01-06;1;8;5;2;3;False
2022-01-07;0;6;13;3;3;False
2022-01-08;0;7;12;2;3;False
2022-01-09;0;8;9;3;3;False
2022-01-10;1;6;6;2;4;False
2022-01-11;0;7;6;2;4;False
2022-01-12;1;13;8;2;3;False
2022-01-13;0;16;10;2;5;False
2022-01-14;0;14;15;2;4;False
2022-01-15;0;19;22;2;3;False
2022-01-16;0;17;22;2;3;False
2022-01-17;0;11;12;2;3;False
2022-01-18;0;9;9;2;3;False
2022-01-19;1;62;9;2;3;False
2022-01-20;0;39;7;2;3;False
2022-01-21;0;30;7;2;2;False
2022-01-22;0;30;8;2;2;False
2022-01-23;0;28;9;3;3;False
2022-01-24;1;52;12;3;5;False
2022-01-25;0;28;11;2;2;False
2022-01-26;0;61;10;2;3;False
2022-01-27;0;64;8;2;3;False
2022-01-28;0;100;8;2;2;False
2022-01-29;0;33;10;2;3;False
2022-01-30;0;20;9;2;3;False
2022-01-31;0;18;7;1;4;False
