date;Morecambe;James Cameron;Adam Curtis;Northumberland;air travel;isPartial
2022-01-01;14;1;1;16;2;False
2022-01-02;18;1;0;20;3;False
2022-01-03;12;1;0;21;2;False
2022-01-04;12;1;1;22;2;False
2022-01-05;13;1;0;19;4;False
2022-01-06;12;1;0;19;3;False
2022-01-07;14;1;0;19;3;False
2022-01-08;20;1;1;19;3;False
2022-01-09;100;1;0;21;3;False
2022-01-10;18;1;0;23;4;False
2022-01-11;11;1;0;20;4;False
2022-01-12;14;0;1;25;3;False
2022-01-13;11;1;0;22;5;False
2022-01-14;13;0;0;19;4;False
2022-01-15;15;1;0;19;3;False
2022-01-16;15;1;0;22;3;False
2022-01-17;11;0;1;25;3;False
2022-01-18;15;1;0;19;3;False
2022-01-19;11;1;0;17;3;False
2022-01-20;11;1;0;17;2;False
2022-01-21;12;1;0;20;2;False
2022-01-22;23;0;0;17;2;False
2022-01-23;12;1;1;22;3;False
2022-01-24;13;1;1;23;4;False
2022-01-25;10;1;0;17;2;False
2022-01-26;11;1;0;17;3;False
2022-01-27;12;0;0;18;3;False
2022-01-28;12;0;0;19;2;False
2022-01-29;16;1;0;16;3;False
2022-01-30;9;1;0;18;3;False
2022-01-31;13;0;0;19;4;False
