date;Harlequins;Perth;Mark McGowan;Gabon;air travel;isPartial
2022-01-01;6;74;0;0;5;False
2022-01-02;35;84;0;3;9;False
2022-01-03;13;90;0;1;7;False
2022-01-04;4;88;0;3;8;False
2022-01-05;9;91;0;5;11;False
2022-01-06;10;76;0;3;9;False
2022-01-07;13;74;0;2;9;False
2022-01-08;50;83;0;2;10;False
2022-01-09;13;79;0;3;8;False
2022-01-10;10;81;0;39;14;False
2022-01-11;7;82;1;8;11;False
2022-01-12;8;81;1;3;10;False
2022-01-13;9;91;0;6;14;False
2022-01-14;28;76;0;34;12;False
2022-01-15;21;80;2;16;9;False
2022-01-16;16;86;0;5;10;False
2022-01-17;8;81;0;8;9;False
2022-01-18;8;74;0;18;8;False
2022-01-19;3;68;2;3;11;False
2022-01-20;8;81;4;3;8;False
2022-01-21;32;83;2;4;5;False
2022-01-22;20;82;1;2;8;False
2022-01-23;9;84;0;23;10;False
2022-01-24;9;94;2;3;14;False
2022-01-25;7;80;1;0;7;False
2022-01-26;9;73;1;2;9;False
2022-01-27;9;79;0;1;10;False
2022-01-28;33;100;3;2;7;False
2022-01-29;20;95;0;3;9;False
2022-01-30;10;75;0;2;10;False
2022-01-31;7;82;2;1;12;False
