date;south yorkshire;blackpool;azeem rafiq;cricket;air travel;isPartial
2022-01-01;2;48;0;32;1;False
2022-01-02;3;40;0;38;2;False
2022-01-03;3;34;0;48;1;False
2022-01-04;3;36;0;58;1;False
2022-01-05;4;30;0;72;2;False
2022-01-06;3;32;0;71;2;False
2022-01-07;3;32;0;68;2;False
2022-01-08;3;38;0;71;2;False
2022-01-09;3;35;0;80;1;False
2022-01-10;4;33;0;35;2;False
2022-01-11;2;29;0;43;2;False
2022-01-12;2;31;0;43;2;False
2022-01-13;3;31;0;57;2;False
2022-01-14;3;30;1;69;2;False
2022-01-15;2;36;0;85;2;False
2022-01-16;3;35;0;100;2;False
2022-01-17;3;31;0;38;2;False
2022-01-18;2;29;0;36;1;False
2022-01-19;2;27;0;42;2;False
2022-01-20;2;28;0;40;1;False
2022-01-21;2;30;0;49;1;False
2022-01-22;2;38;0;52;1;False
2022-01-23;2;32;0;70;2;False
2022-01-24;3;34;0;39;2;False
2022-01-25;3;30;0;32;1;False
2022-01-26;2;30;0;49;2;False
2022-01-27;3;30;0;42;2;False
2022-01-28;3;32;0;41;1;False
2022-01-29;3;49;0;58;1;False
2022-01-30;2;32;0;57;2;False
2022-01-31;2;34;0;36;2;False
