date;comedy;florida;orlando;leicester;air travel;isPartial
2022-01-01;19;16;10;54;1;False
2022-01-02;13;17;11;53;1;False
2022-01-03;11;16;10;48;1;False
2022-01-04;10;14;8;53;1;False
2022-01-05;9;14;8;50;2;False
2022-01-06;9;12;8;49;1;False
2022-01-07;14;13;7;52;1;False
2022-01-08;14;15;12;76;2;False
2022-01-09;14;19;13;60;1;False
2022-01-10;12;15;10;55;2;False
2022-01-11;12;14;9;53;2;False
2022-01-12;11;12;8;50;2;False
2022-01-13;11;12;10;55;2;False
2022-01-14;12;12;9;55;2;False
2022-01-15;16;16;11;62;2;False
2022-01-16;14;18;14;53;2;False
2022-01-17;11;14;10;51;1;False
2022-01-18;9;12;10;49;1;False
2022-01-19;9;12;8;100;2;False
2022-01-20;10;13;8;62;1;False
2022-01-21;11;12;7;51;1;False
2022-01-22;16;15;11;56;1;False
2022-01-23;14;19;12;71;2;False
2022-01-24;14;16;10;57;2;False
2022-01-25;11;13;8;47;1;False
2022-01-26;11;13;8;49;1;False
2022-01-27;12;12;7;47;2;False
2022-01-28;14;13;8;52;1;False
2022-01-29;17;16;10;56;1;False
2022-01-30;13;16;11;52;2;False
2022-01-31;11;13;10;53;2;False
