date;Antony Blinken;Philippe Sands;William Barr;North-south divide;air travel;isPartial
2022-01-01;0;0;0;0;34;False
2022-01-02;0;0;5;0;63;False
2022-01-03;5;0;0;0;51;False
2022-01-04;0;0;0;0;54;False
2022-01-05;0;0;13;0;77;False
2022-01-06;0;0;0;10;61;False
2022-01-07;10;0;0;0;63;False
2022-01-08;0;0;0;0;71;False
2022-01-09;0;0;9;0;55;False
2022-01-10;0;0;0;0;97;False
2022-01-11;0;5;0;0;79;False
2022-01-12;0;0;0;0;67;False
2022-01-13;0;0;12;0;100;False
2022-01-14;0;0;0;0;84;False
2022-01-15;0;0;0;0;66;False
2022-01-16;0;0;6;0;72;False
2022-01-17;11;7;0;7;65;False
2022-01-18;5;0;11;0;59;False
2022-01-19;9;9;9;0;74;False
2022-01-20;0;0;0;4;54;False
2022-01-21;27;0;6;0;38;False
2022-01-22;12;9;0;0;53;False
2022-01-23;0;0;0;0;69;False
2022-01-24;5;7;14;0;97;False
2022-01-25;5;0;0;0;49;False
2022-01-26;10;0;0;8;64;False
2022-01-27;0;0;6;0;71;False
2022-01-28;0;0;5;0;49;False
2022-01-29;0;0;6;0;60;False
2022-01-30;0;0;0;0;71;False
2022-01-31;0;0;0;0;82;False
