date;Monarchy;Gareth Southgate;Queen Elizabeth II;Astronomy;air travel;isPartial
2022-01-01;9;18;8;17;15;False
2022-01-02;14;3;7;22;27;False
2022-01-03;15;2;15;16;22;False
2022-01-04;12;8;7;32;23;False
2022-01-05;9;0;2;18;33;False
2022-01-06;17;0;11;21;26;False
2022-01-07;13;2;2;16;27;False
2022-01-08;13;46;5;8;31;False
2022-01-09;24;21;7;22;24;False
2022-01-10;15;6;14;20;42;False
2022-01-11;14;0;10;17;34;False
2022-01-12;19;3;11;17;29;False
2022-01-13;19;0;7;19;43;False
2022-01-14;17;0;19;15;36;False
2022-01-15;7;6;13;19;29;False
2022-01-16;9;4;9;23;31;False
2022-01-17;20;4;9;24;28;False
2022-01-18;17;7;6;20;25;False
2022-01-19;15;2;6;19;32;False
2022-01-20;6;3;6;11;23;False
2022-01-21;8;9;12;15;16;False
2022-01-22;9;14;12;26;23;False
2022-01-23;14;6;12;14;30;False
2022-01-24;15;4;15;11;42;False
2022-01-25;16;7;8;21;21;False
2022-01-26;9;7;9;27;28;False
2022-01-27;10;2;3;19;31;False
2022-01-28;11;0;6;22;21;False
2022-01-29;9;4;4;17;26;False
2022-01-30;15;6;11;45;31;False
2022-01-31;10;3;6;100;36;False
