date;samuel l jackson;west virginia;hawaii;joe lycett;air travel;isPartial
2022-01-01;10;4;28;26;4;False
2022-01-02;9;1;26;27;7;False
2022-01-03;7;3;26;9;6;False
2022-01-04;7;0;19;9;6;False
2022-01-05;7;1;21;8;9;False
2022-01-06;5;2;29;5;7;False
2022-01-07;8;2;26;4;7;False
2022-01-08;9;1;37;9;8;False
2022-01-09;8;2;38;5;6;False
2022-01-10;4;2;29;4;11;False
2022-01-11;4;1;23;4;9;False
2022-01-12;4;3;20;3;8;False
2022-01-13;4;5;25;4;12;False
2022-01-14;5;2;24;3;10;False
2022-01-15;8;2;37;3;8;False
2022-01-16;9;3;44;5;8;False
2022-01-17;4;3;27;2;8;False
2022-01-18;5;2;23;3;7;False
2022-01-19;6;2;20;1;9;False
2022-01-20;4;4;23;2;6;False
2022-01-21;3;3;18;3;4;False
2022-01-22;9;2;31;2;6;False
2022-01-23;28;2;50;3;8;False
2022-01-24;28;2;30;3;11;False
2022-01-25;12;2;25;4;6;False
2022-01-26;8;2;22;4;7;False
2022-01-27;7;1;21;25;8;False
2022-01-28;7;2;26;100;6;False
2022-01-29;11;3;26;46;7;False
2022-01-30;7;0;22;14;8;False
2022-01-31;3;2;21;9;10;False
