date;Olivia Colman;Jessie Buckley;Charles Darwin;Hollyoaks;air travel;isPartial
2022-01-01;40;12;1;31;5;False
2022-01-02;30;13;2;31;9;False
2022-01-03;21;7;4;35;7;False
2022-01-04;15;7;6;51;7;False
2022-01-05;15;4;4;33;11;False
2022-01-06;15;4;6;36;8;False
2022-01-07;17;4;6;40;9;False
2022-01-08;20;9;3;32;10;False
2022-01-09;21;5;4;31;8;False
2022-01-10;11;4;7;34;13;False
2022-01-11;7;4;5;73;11;False
2022-01-12;8;3;4;100;9;False
2022-01-13;7;3;3;83;14;False
2022-01-14;7;3;4;74;11;False
2022-01-15;16;4;3;52;9;False
2022-01-16;14;2;7;48;10;False
2022-01-17;7;5;9;37;9;False
2022-01-18;7;4;5;29;8;False
2022-01-19;7;1;3;30;10;False
2022-01-20;8;2;5;30;7;False
2022-01-21;7;2;4;33;5;False
2022-01-22;12;4;3;29;7;False
2022-01-23;8;3;3;22;9;False
2022-01-24;5;3;6;33;13;False
2022-01-25;6;2;5;29;7;False
2022-01-26;4;1;6;29;9;False
2022-01-27;4;2;8;34;10;False
2022-01-28;2;3;5;34;7;False
2022-01-29;10;7;2;31;8;False
2022-01-30;7;2;4;25;10;False
2022-01-31;5;2;5;35;11;False
