date;Greg Rutherford;Natural resources and development;Sudan;Will Self;air travel;isPartial
2022-01-01;6;0;22;11;9;False
2022-01-02;0;0;19;11;17;False
2022-01-03;1;0;25;5;14;False
2022-01-04;0;0;16;12;15;False
2022-01-05;0;0;21;10;21;False
2022-01-06;0;0;13;7;17;False
2022-01-07;0;0;13;5;17;False
2022-01-08;3;0;15;13;19;False
2022-01-09;2;0;15;5;15;False
2022-01-10;0;0;15;9;26;False
2022-01-11;3;0;44;8;21;False
2022-01-12;2;0;21;7;18;False
2022-01-13;1;0;16;9;27;False
2022-01-14;0;0;16;9;23;False
2022-01-15;5;0;100;10;18;False
2022-01-16;0;0;27;6;20;False
2022-01-17;0;0;13;5;18;False
2022-01-18;0;0;48;12;16;False
2022-01-19;4;0;55;11;20;False
2022-01-20;3;0;20;13;15;False
2022-01-21;1;0;12;12;10;False
2022-01-22;0;0;9;8;14;False
2022-01-23;0;0;14;11;19;False
2022-01-24;1;0;18;12;26;False
2022-01-25;0;0;12;11;13;False
2022-01-26;0;0;17;12;17;False
2022-01-27;2;0;14;6;19;False
2022-01-28;2;0;16;7;13;False
2022-01-29;9;0;11;5;16;False
2022-01-30;3;0;14;10;19;False
2022-01-31;0;0;13;7;22;False
