date;Fragrance;Los Angeles Lakers;LeBron James;Basketball;air travel;isPartial
2022-01-01;55;0;23;61;6;False
2022-01-02;51;0;13;75;11;False
2022-01-03;45;2;15;69;9;False
2022-01-04;43;2;8;72;9;False
2022-01-05;42;1;11;68;13;False
2022-01-06;39;0;10;68;11;False
2022-01-07;42;2;8;66;11;False
2022-01-08;45;0;13;81;12;False
2022-01-09;40;0;10;85;10;False
2022-01-10;47;1;12;65;17;False
2022-01-11;36;1;7;63;14;False
2022-01-12;39;0;7;70;12;False
2022-01-13;43;0;11;81;17;False
2022-01-14;40;0;8;70;15;False
2022-01-15;44;1;10;89;11;False
2022-01-16;45;2;12;95;13;False
2022-01-17;38;2;8;81;11;False
2022-01-18;41;0;9;70;10;False
2022-01-19;40;1;3;68;13;False
2022-01-20;40;2;6;79;9;False
2022-01-21;38;1;8;78;7;False
2022-01-22;41;0;10;100;9;False
2022-01-23;48;1;7;88;12;False
2022-01-24;50;1;10;89;17;False
2022-01-25;38;0;8;66;9;False
2022-01-26;35;0;12;85;11;False
2022-01-27;31;0;10;74;12;False
2022-01-28;44;1;13;82;9;False
2022-01-29;57;0;12;89;10;False
2022-01-30;38;2;14;93;12;False
2022-01-31;43;2;6;70;14;False
