date;San Francisco;Hate crime;Princess Anne;Paul Collingwood;air travel;isPartial
2022-01-01;64;2;13;0;11;False
2022-01-02;66;3;10;0;20;False
2022-01-03;60;7;14;0;16;False
2022-01-04;49;7;7;2;17;False
2022-01-05;55;3;9;0;24;False
2022-01-06;52;6;13;0;19;False
2022-01-07;55;4;8;0;20;False
2022-01-08;59;7;9;0;22;False
2022-01-09;66;7;11;0;17;False
2022-01-10;65;7;5;4;31;False
2022-01-11;58;8;8;0;25;False
2022-01-12;55;7;10;0;21;False
2022-01-13;51;3;26;0;32;False
2022-01-14;50;5;21;0;26;False
2022-01-15;77;3;18;0;21;False
2022-01-16;83;7;13;0;23;False
2022-01-17;76;5;9;0;21;False
2022-01-18;58;13;10;0;19;False
2022-01-19;53;7;6;0;24;False
2022-01-20;65;2;12;0;17;False
2022-01-21;58;7;9;3;12;False
2022-01-22;69;4;11;2;17;False
2022-01-23;100;5;11;0;22;False
2022-01-24;85;4;5;0;31;False
2022-01-25;63;5;13;0;16;False
2022-01-26;57;9;7;0;20;False
2022-01-27;51;7;5;2;23;False
2022-01-28;58;9;9;0;16;False
2022-01-29;57;2;10;0;19;False
2022-01-30;80;5;16;4;23;False
2022-01-31;67;3;20;3;26;False
