date;Claudio Ranieri;The Sun;Dior;West Bromwich;air travel;isPartial
2022-01-01;1;87;26;7;1;False
2022-01-02;0;81;30;8;2;False
2022-01-03;0;74;24;5;2;False
2022-01-04;0;82;21;4;2;False
2022-01-05;0;81;22;6;2;False
2022-01-06;0;77;20;5;2;False
2022-01-07;0;80;22;6;2;False
2022-01-08;0;78;29;6;2;False
2022-01-09;0;85;29;5;2;False
2022-01-10;0;84;22;6;3;False
2022-01-11;0;75;21;4;2;False
2022-01-12;0;76;21;4;2;False
2022-01-13;0;87;23;6;3;False
2022-01-14;0;82;20;5;3;False
2022-01-15;0;84;28;7;2;False
2022-01-16;0;100;24;6;2;False
2022-01-17;0;87;21;5;2;False
2022-01-18;0;78;18;6;2;False
2022-01-19;0;73;18;5;2;False
2022-01-20;0;75;19;5;2;False
2022-01-21;1;77;19;6;1;False
2022-01-22;2;81;25;7;2;False
2022-01-23;1;77;25;5;2;False
2022-01-24;6;87;22;5;3;False
2022-01-25;3;72;18;7;2;False
2022-01-26;0;77;19;7;2;False
2022-01-27;0;72;19;5;2;False
2022-01-28;0;79;21;7;2;False
2022-01-29;0;80;27;7;2;False
2022-01-30;0;80;24;5;2;False
2022-01-31;0;84;18;7;3;False
