date;Mammals;Anton Corbijn;David Bowie;Naomi Campbell;air travel;isPartial
2022-01-01;2;0;18;1;2;False
2022-01-02;3;0;10;0;4;False
2022-01-03;1;1;16;1;3;False
2022-01-04;1;0;21;0;3;False
2022-01-05;3;0;8;2;5;False
2022-01-06;2;0;11;1;4;False
2022-01-07;2;0;27;1;4;False
2022-01-08;2;0;100;1;4;False
2022-01-09;2;0;42;1;3;False
2022-01-10;2;0;20;1;6;False
2022-01-11;3;0;14;1;5;False
2022-01-12;2;0;12;1;4;False
2022-01-13;3;0;11;1;6;False
2022-01-14;4;0;14;1;5;False
2022-01-15;1;0;12;2;4;False
2022-01-16;4;0;9;2;4;False
2022-01-17;2;0;8;1;4;False
2022-01-18;2;0;8;2;4;False
2022-01-19;2;0;6;0;4;False
2022-01-20;3;0;9;1;3;False
2022-01-21;2;0;11;0;2;False
2022-01-22;1;0;12;1;3;False
2022-01-23;3;0;10;1;4;False
2022-01-24;3;0;9;1;6;False
2022-01-25;2;0;7;1;3;False
2022-01-26;2;1;7;1;4;False
2022-01-27;2;1;8;0;4;False
2022-01-28;2;0;8;1;3;False
2022-01-29;2;0;11;0;4;False
2022-01-30;3;0;9;0;4;False
2022-01-31;3;0;6;1;5;False
