date;Harry Potter and the Cursed Child;Small business;Tinie Tempah;Lithuania;air travel;isPartial
2022-01-01;35;65;11;19;16;False
2022-01-02;41;71;0;29;29;False
2022-01-03;30;63;0;38;24;False
2022-01-04;25;100;0;35;25;False
2022-01-05;24;82;10;32;36;False
2022-01-06;19;76;5;43;28;False
2022-01-07;17;82;4;36;29;False
2022-01-08;23;63;11;26;33;False
2022-01-09;19;59;4;28;26;False
2022-01-10;16;88;9;33;45;False
2022-01-11;14;82;5;38;37;False
2022-01-12;19;82;5;29;31;False
2022-01-13;11;87;4;46;46;False
2022-01-14;13;69;0;30;39;False
2022-01-15;25;52;13;24;31;False
2022-01-16;29;64;9;27;33;False
2022-01-17;20;70;6;42;30;False
2022-01-18;9;75;3;29;27;False
2022-01-19;4;79;7;33;35;False
2022-01-20;11;72;9;32;25;False
2022-01-21;13;70;4;36;18;False
2022-01-22;11;55;4;35;25;False
2022-01-23;16;59;0;41;32;False
2022-01-24;31;94;10;50;45;False
2022-01-25;6;90;3;51;23;False
2022-01-26;10;83;24;40;30;False
2022-01-27;7;71;13;53;33;False
2022-01-28;6;81;8;40;23;False
2022-01-29;19;51;0;42;28;False
2022-01-30;17;61;4;29;33;False
2022-01-31;7;76;7;42;38;False
