date;Social welfare law;HMRC;Environment Agency;Water;air travel;isPartial
2022-01-01;0;7;0;74;0;False
2022-01-02;0;7;0;83;1;False
2022-01-03;0;12;0;75;1;False
2022-01-04;0;26;0;81;1;False
2022-01-05;0;25;1;81;1;False
2022-01-06;0;25;1;76;1;False
2022-01-07;0;24;1;80;1;False
2022-01-08;0;12;0;78;1;False
2022-01-09;0;10;0;84;1;False
2022-01-10;0;27;1;89;1;False
2022-01-11;0;25;1;83;1;False
2022-01-12;0;23;1;82;1;False
2022-01-13;0;26;1;83;1;False
2022-01-14;0;22;1;74;1;False
2022-01-15;0;11;0;83;1;False
2022-01-16;0;11;0;90;1;False
2022-01-17;0;26;1;94;1;False
2022-01-18;0;28;0;83;1;False
2022-01-19;0;26;0;79;1;False
2022-01-20;0;24;1;74;1;False
2022-01-21;0;23;0;71;0;False
2022-01-22;0;12;0;79;1;False
2022-01-23;0;14;0;88;1;False
2022-01-24;0;32;1;100;1;False
2022-01-25;0;32;1;81;1;False
2022-01-26;0;30;1;83;1;False
2022-01-27;0;30;1;73;1;False
2022-01-28;0;33;1;77;1;False
2022-01-29;0;20;0;78;1;False
2022-01-30;0;23;0;77;1;False
2022-01-31;0;58;0;82;1;False
