date;Burgers;Plymouth shooting;Charlie Sheen;Oliver Stone;air travel;isPartial
2022-01-01;71;4;10;5;7;False
2022-01-02;71;6;9;0;13;False
2022-01-03;66;0;6;3;11;False
2022-01-04;66;0;5;1;11;False
2022-01-05;60;2;5;9;16;False
2022-01-06;57;0;6;10;13;False
2022-01-07;73;0;4;3;13;False
2022-01-08;100;1;7;5;15;False
2022-01-09;77;0;8;3;12;False
2022-01-10;68;0;6;2;21;False
2022-01-11;75;0;3;2;17;False
2022-01-12;66;0;3;1;14;False
2022-01-13;75;0;3;0;21;False
2022-01-14;71;0;6;5;18;False
2022-01-15;100;1;5;4;14;False
2022-01-16;85;0;7;4;15;False
2022-01-17;59;0;7;4;14;False
2022-01-18;70;2;4;4;13;False
2022-01-19;65;0;6;0;16;False
2022-01-20;70;0;7;1;11;False
2022-01-21;68;0;8;2;8;False
2022-01-22;86;0;17;1;11;False
2022-01-23;77;1;8;2;15;False
2022-01-24;81;0;7;2;21;False
2022-01-25;64;1;3;2;11;False
2022-01-26;69;0;7;0;14;False
2022-01-27;68;1;4;3;15;False
2022-01-28;78;0;9;0;11;False
2022-01-29;87;0;4;3;13;False
2022-01-30;71;2;10;2;15;False
2022-01-31;64;0;4;0;18;False
