date;Ski resorts;Winter sports holidays;Alps holidays;Pyrenees holidays;air travel;isPartial
2022-01-01;75;0;0;0;22;False
2022-01-02;100;0;7;0;41;False
2022-01-03;77;4;3;0;34;False
2022-01-04;70;0;18;4;35;False
2022-01-05;72;0;0;0;51;False
2022-01-06;69;0;0;0;40;False
2022-01-07;65;0;0;7;42;False
2022-01-08;78;0;8;0;47;False
2022-01-09;86;5;0;7;36;False
2022-01-10;71;0;5;0;64;False
2022-01-11;64;3;6;0;52;False
2022-01-12;68;0;6;0;44;False
2022-01-13;77;4;0;0;66;False
2022-01-14;65;0;4;0;55;False
2022-01-15;83;0;0;0;44;False
2022-01-16;86;0;9;0;47;False
2022-01-17;76;0;5;0;43;False
2022-01-18;45;0;0;0;39;False
2022-01-19;70;0;3;0;49;False
2022-01-20;56;0;0;5;36;False
2022-01-21;36;0;6;0;25;False
2022-01-22;49;0;3;0;35;False
2022-01-23;68;0;3;0;45;False
2022-01-24;74;5;0;5;64;False
2022-01-25;51;0;0;0;32;False
2022-01-26;32;0;0;0;42;False
2022-01-27;25;0;0;6;47;False
2022-01-28;24;0;0;0;33;False
2022-01-29;41;0;0;4;39;False
2022-01-30;67;0;0;0;47;False
2022-01-31;46;0;7;0;54;False
