date;Street art;Sport politics;Let's Eat Grandma;International Committee of the Red Cross (ICRC);air travel;isPartial
2022-01-01;23;4;0;0;34;False
2022-01-02;35;10;0;0;63;False
2022-01-03;26;7;0;0;51;False
2022-01-04;35;13;0;0;54;False
2022-01-05;23;0;0;0;77;False
2022-01-06;42;0;0;0;61;False
2022-01-07;35;0;6;0;63;False
2022-01-08;22;0;0;0;71;False
2022-01-09;33;0;0;0;55;False
2022-01-10;40;0;10;0;97;False
2022-01-11;49;0;4;0;79;False
2022-01-12;27;0;0;0;67;False
2022-01-13;53;0;0;0;100;False
2022-01-14;53;15;0;0;84;False
2022-01-15;47;0;0;0;66;False
2022-01-16;58;0;6;0;72;False
2022-01-17;39;0;0;0;65;False
2022-01-18;34;0;0;0;59;False
2022-01-19;53;0;0;0;74;False
2022-01-20;33;0;0;0;54;False
2022-01-21;26;0;7;0;38;False
2022-01-22;47;10;0;0;53;False
2022-01-23;35;0;11;0;69;False
2022-01-24;32;0;0;0;97;False
2022-01-25;41;7;8;0;49;False
2022-01-26;28;12;0;0;64;False
2022-01-27;37;0;5;0;71;False
2022-01-28;40;0;6;0;49;False
2022-01-29;48;0;0;0;60;False
2022-01-30;13;0;0;0;71;False
2022-01-31;26;0;7;0;82;False
