date;Tim Roth;Sydney festival 2022;Thomas Tuchel;Jürgen Klopp;air travel;isPartial
2022-01-01;18;0;26;9;27;False
2022-01-02;8;0;100;8;50;False
2022-01-03;6;0;10;0;41;False
2022-01-04;10;0;32;0;43;False
2022-01-05;0;0;19;4;62;False
2022-01-06;0;0;5;0;49;False
2022-01-07;10;0;3;0;51;False
2022-01-08;8;0;0;5;57;False
2022-01-09;14;5;0;11;44;False
2022-01-10;0;5;4;0;78;False
2022-01-11;0;0;0;0;63;False
2022-01-12;4;0;22;0;54;False
2022-01-13;5;0;10;0;80;False
2022-01-14;13;14;0;6;67;False
2022-01-15;8;0;31;0;53;False
2022-01-16;13;0;41;0;58;False
2022-01-17;9;0;15;0;52;False
2022-01-18;6;0;22;0;47;False
2022-01-19;12;0;9;0;60;False
2022-01-20;8;3;11;0;43;False
2022-01-21;5;6;10;5;30;False
2022-01-22;11;0;12;0;43;False
2022-01-23;19;3;25;0;55;False
2022-01-24;15;0;9;0;78;False
2022-01-25;6;0;0;4;40;False
2022-01-26;7;5;17;0;51;False
2022-01-27;0;0;14;0;57;False
2022-01-28;9;0;8;0;40;False
2022-01-29;10;0;11;0;48;False
2022-01-30;0;0;10;0;57;False
2022-01-31;0;0;15;0;66;False
