date;Sony;Halo;Games;New York;air travel;isPartial
2022-01-01;14;10;100;26;0;False
2022-01-02;15;10;95;23;1;False
2022-01-03;14;9;76;21;1;False
2022-01-04;14;9;74;21;1;False
2022-01-05;14;9;77;21;1;False
2022-01-06;14;8;72;21;1;False
2022-01-07;13;8;83;22;1;False
2022-01-08;15;9;94;25;1;False
2022-01-09;13;10;87;26;1;False
2022-01-10;13;8;79;25;1;False
2022-01-11;12;8;79;21;1;False
2022-01-12;12;7;75;20;1;False
2022-01-13;13;8;80;21;1;False
2022-01-14;12;7;74;20;1;False
2022-01-15;14;8;93;24;1;False
2022-01-16;15;8;89;25;1;False
2022-01-17;12;7;70;20;1;False
2022-01-18;15;7;71;19;1;False
2022-01-19;12;6;70;17;1;False
2022-01-20;12;7;70;18;1;False
2022-01-21;11;6;79;20;1;False
2022-01-22;12;7;83;20;1;False
2022-01-23;13;8;84;22;1;False
2022-01-24;13;7;84;23;1;False
2022-01-25;11;6;71;18;1;False
2022-01-26;11;6;78;19;1;False
2022-01-27;10;6;72;18;1;False
2022-01-28;11;6;82;18;1;False
2022-01-29;13;7;91;22;1;False
2022-01-30;12;7;74;23;1;False
2022-01-31;16;10;75;19;1;False
