date;Filipino food and drink;Bill de Blasio;Focus;Desmond Tutu;air travel;isPartial
2022-01-01;0;2;59;72;4;False
2022-01-02;0;2;69;19;7;False
2022-01-03;0;0;72;7;6;False
2022-01-04;0;1;85;5;6;False
2022-01-05;0;0;85;5;9;False
2022-01-06;0;0;78;4;7;False
2022-01-07;0;1;73;5;7;False
2022-01-08;0;0;77;2;8;False
2022-01-09;0;0;76;4;6;False
2022-01-10;0;0;95;2;11;False
2022-01-11;0;2;91;3;9;False
2022-01-12;0;0;85;1;8;False
2022-01-13;0;0;96;2;11;False
2022-01-14;0;0;79;0;10;False
2022-01-15;0;0;84;1;8;False
2022-01-16;0;0;93;0;8;False
2022-01-17;0;0;97;3;7;False
2022-01-18;0;0;85;2;7;False
2022-01-19;0;1;82;1;9;False
2022-01-20;0;0;83;1;6;False
2022-01-21;0;0;75;2;4;False
2022-01-22;0;0;79;0;6;False
2022-01-23;0;0;84;2;8;False
2022-01-24;0;0;100;2;11;False
2022-01-25;0;0;81;1;6;False
2022-01-26;0;0;86;0;7;False
2022-01-27;0;0;73;2;8;False
2022-01-28;0;0;80;1;6;False
2022-01-29;0;0;87;0;7;False
2022-01-30;0;0;75;1;8;False
2022-01-31;0;1;81;1;9;False
