date;Ohio;Iowa;Quiz and trivia games;Early years education;air travel;isPartial
2022-01-01;93;40;0;9;27;False
2022-01-02;100;21;0;4;49;False
2022-01-03;58;14;0;6;40;False
2022-01-04;65;28;0;5;42;False
2022-01-05;53;26;0;0;60;False
2022-01-06;65;16;0;5;48;False
2022-01-07;56;26;0;0;50;False
2022-01-08;64;20;0;0;56;False
2022-01-09;71;15;0;9;43;False
2022-01-10;77;20;0;6;76;False
2022-01-11;76;22;0;0;62;False
2022-01-12;67;31;0;5;53;False
2022-01-13;71;20;0;0;79;False
2022-01-14;53;18;0;8;66;False
2022-01-15;60;33;0;4;52;False
2022-01-16;80;16;0;12;57;False
2022-01-17;98;36;0;19;51;False
2022-01-18;74;14;0;7;46;False
2022-01-19;59;16;0;7;58;False
2022-01-20;71;22;0;0;42;False
2022-01-21;80;9;0;0;30;False
2022-01-22;62;5;0;0;42;False
2022-01-23;76;19;0;7;54;False
2022-01-24;90;21;0;22;76;False
2022-01-25;89;24;0;11;39;False
2022-01-26;78;22;0;5;50;False
2022-01-27;78;16;0;6;56;False
2022-01-28;46;22;0;5;39;False
2022-01-29;63;19;0;0;47;False
2022-01-30;76;28;0;13;56;False
2022-01-31;75;28;0;7;65;False
