date;Islamophobia;Sayeeda Warsi;Asteroids;Don't Look Up;air travel;isPartial
2022-01-01;0;20;1;100;5;False
2022-01-02;0;13;5;84;10;False
2022-01-03;0;9;0;55;8;False
2022-01-04;0;3;1;38;9;False
2022-01-05;1;3;2;38;12;False
2022-01-06;0;2;2;29;10;False
2022-01-07;2;4;3;35;10;False
2022-01-08;0;4;1;50;11;False
2022-01-09;0;0;2;35;9;False
2022-01-10;0;11;0;25;16;False
2022-01-11;3;2;0;16;13;False
2022-01-12;0;0;2;17;11;False
2022-01-13;0;2;7;12;16;False
2022-01-14;0;0;1;16;14;False
2022-01-15;0;1;2;27;11;False
2022-01-16;0;1;1;19;12;False
2022-01-17;0;0;1;10;10;False
2022-01-18;0;0;53;13;10;False
2022-01-19;0;0;21;12;12;False
2022-01-20;2;0;2;9;9;False
2022-01-21;0;0;0;12;6;False
2022-01-22;1;1;0;14;9;False
2022-01-23;1;2;3;14;11;False
2022-01-24;8;3;2;8;16;False
2022-01-25;2;1;1;5;8;False
2022-01-26;2;1;2;6;10;False
2022-01-27;2;0;0;5;12;False
2022-01-28;3;0;0;8;8;False
2022-01-29;0;0;1;13;10;False
2022-01-30;0;0;0;9;12;False
2022-01-31;0;0;0;4;13;False
