date;wildfires;kim kardashian;television;tony blair;air travel;isPartial
2022-01-01;1;20;17;90;2;False
2022-01-02;1;17;17;73;4;False
2022-01-03;1;15;16;88;4;False
2022-01-04;1;18;14;100;4;False
2022-01-05;1;17;14;47;5;False
2022-01-06;1;16;16;33;4;False
2022-01-07;0;19;17;37;4;False
2022-01-08;1;19;16;32;5;False
2022-01-09;0;19;15;29;4;False
2022-01-10;0;12;16;13;7;False
2022-01-11;0;12;13;14;5;False
2022-01-12;1;15;16;10;5;False
2022-01-13;1;18;14;10;7;False
2022-01-14;0;17;13;7;6;False
2022-01-15;0;24;16;6;5;False
2022-01-16;1;30;16;7;5;False
2022-01-17;1;19;14;6;4;False
2022-01-18;1;15;14;5;4;False
2022-01-19;0;15;13;5;5;False
2022-01-20;1;15;12;5;4;False
2022-01-21;1;16;13;4;3;False
2022-01-22;0;18;13;6;4;False
2022-01-23;1;22;15;4;5;False
2022-01-24;1;24;17;5;7;False
2022-01-25;0;14;10;6;3;False
2022-01-26;1;16;14;5;4;False
2022-01-27;1;17;13;3;5;False
2022-01-28;0;18;13;4;3;False
2022-01-29;0;20;16;79;4;False
2022-01-30;0;15;14;21;5;False
2022-01-31;0;14;12;6;6;False
