date;House prices;Rangers;Nottingham Forest;Chelsea;air travel;isPartial
2022-01-01;5;11;3;22;0;False
2022-01-02;5;15;4;100;1;False
2022-01-03;5;14;3;22;0;False
2022-01-04;5;15;3;19;0;False
2022-01-05;5;13;3;71;1;False
2022-01-06;5;12;3;21;1;False
2022-01-07;5;12;4;17;1;False
2022-01-08;6;13;5;61;1;False
2022-01-09;6;13;25;21;0;False
2022-01-10;6;12;5;18;1;False
2022-01-11;5;12;3;17;1;False
2022-01-12;5;13;3;56;1;False
2022-01-13;6;14;3;24;1;False
2022-01-14;4;13;3;18;1;False
2022-01-15;6;14;6;59;1;False
2022-01-16;6;15;3;19;1;False
2022-01-17;6;14;3;16;1;False
2022-01-18;5;36;3;42;1;False
2022-01-19;5;15;2;17;1;False
2022-01-20;5;15;3;16;0;False
2022-01-21;5;30;2;17;0;False
2022-01-22;6;15;9;20;0;False
2022-01-23;6;12;3;62;1;False
2022-01-24;6;13;4;18;1;False
2022-01-25;5;12;6;15;0;False
2022-01-26;5;34;4;16;1;False
2022-01-27;5;17;3;14;1;False
2022-01-28;5;15;3;15;0;False
2022-01-29;6;49;4;20;1;False
2022-01-30;5;15;7;17;1;False
2022-01-31;5;36;6;17;1;False
