date;EastEnders;Soap opera;Public sector cuts;Job losses;air travel;isPartial
2022-01-01;100;1;0;0;2;False
2022-01-02;55;1;0;1;4;False
2022-01-03;63;0;0;0;3;False
2022-01-04;59;0;0;0;4;False
2022-01-05;44;0;0;1;5;False
2022-01-06;53;0;0;1;4;False
2022-01-07;74;0;0;0;4;False
2022-01-08;53;1;0;0;5;False
2022-01-09;77;0;0;0;4;False
2022-01-10;58;0;0;0;6;False
2022-01-11;64;0;0;1;5;False
2022-01-12;41;1;0;0;4;False
2022-01-13;55;1;1;0;7;False
2022-01-14;59;1;0;0;6;False
2022-01-15;46;2;1;0;4;False
2022-01-16;41;1;0;1;5;False
2022-01-17;48;0;1;0;4;False
2022-01-18;46;1;0;0;4;False
2022-01-19;28;1;1;0;5;False
2022-01-20;38;1;0;0;4;False
2022-01-21;100;1;0;0;3;False
2022-01-22;59;1;0;0;4;False
2022-01-23;41;0;0;0;5;False
2022-01-24;50;0;0;0;6;False
2022-01-25;41;0;0;1;3;False
2022-01-26;31;1;0;0;4;False
2022-01-27;38;0;0;0;5;False
2022-01-28;46;1;0;1;3;False
2022-01-29;49;1;0;0;4;False
2022-01-30;45;0;0;0;5;False
2022-01-31;60;1;0;0;5;False
