date;Prince Harry;Meghan, the Duchess of Sussex;UK cost of living crisis;Spain;air travel;isPartial
2022-01-01;23;0;0;62;1;False
2022-01-02;11;0;0;71;3;False
2022-01-03;7;0;0;75;2;False
2022-01-04;6;0;0;76;2;False
2022-01-05;7;0;0;80;3;False
2022-01-06;6;0;0;73;3;False
2022-01-07;6;0;0;73;3;False
2022-01-08;6;0;0;81;3;False
2022-01-09;7;0;0;91;2;False
2022-01-10;5;0;0;83;4;False
2022-01-11;5;0;0;75;3;False
2022-01-12;6;0;0;75;3;False
2022-01-13;9;0;0;80;4;False
2022-01-14;9;0;0;70;4;False
2022-01-15;9;0;0;83;3;False
2022-01-16;22;0;0;94;3;False
2022-01-17;15;0;0;83;3;False
2022-01-18;9;0;0;75;2;False
2022-01-19;7;0;0;73;3;False
2022-01-20;7;0;0;76;2;False
2022-01-21;5;0;0;72;2;False
2022-01-22;7;0;1;83;2;False
2022-01-23;6;0;0;90;3;False
2022-01-24;7;0;0;100;4;False
2022-01-25;6;0;0;84;2;False
2022-01-26;5;0;0;79;3;False
2022-01-27;5;0;0;81;3;False
2022-01-28;5;0;0;79;2;False
2022-01-29;6;0;0;81;3;False
2022-01-30;7;0;0;87;3;False
2022-01-31;4;0;0;79;3;False
