date;Cheese;Bread;Main course;Potatoes;air travel;isPartial
2022-01-01;89;65;1;58;1;False
2022-01-02;94;71;0;51;3;False
2022-01-03;88;67;0;39;2;False
2022-01-04;85;64;0;32;2;False
2022-01-05;79;59;0;32;3;False
2022-01-06;84;57;0;34;3;False
2022-01-07;82;63;0;31;3;False
2022-01-08;92;77;0;37;3;False
2022-01-09;99;75;0;55;2;False
2022-01-10;82;64;1;33;4;False
2022-01-11;82;61;0;28;3;False
2022-01-12;78;56;0;37;3;False
2022-01-13;90;63;0;31;4;False
2022-01-14;73;55;0;27;3;False
2022-01-15;96;77;0;36;3;False
2022-01-16;100;77;1;62;3;False
2022-01-17;74;63;1;32;3;False
2022-01-18;69;51;1;28;2;False
2022-01-19;71;54;0;26;3;False
2022-01-20;74;56;0;28;2;False
2022-01-21;73;55;0;24;2;False
2022-01-22;88;76;0;31;2;False
2022-01-23;86;69;1;51;3;False
2022-01-24;80;69;1;32;4;False
2022-01-25;66;60;1;30;2;False
2022-01-26;71;59;1;28;3;False
2022-01-27;69;56;0;27;3;False
2022-01-28;71;57;0;27;2;False
2022-01-29;85;70;0;34;2;False
2022-01-30;85;70;0;50;3;False
2022-01-31;72;56;0;30;3;False
