date;housing market;inflation;scotland business;james gallagher;air travel;isPartial
2022-01-01;3;15;1;1;4;False
2022-01-02;3;17;2;2;8;False
2022-01-03;4;26;4;0;6;False
2022-01-04;3;34;4;1;7;False
2022-01-05;4;36;7;0;9;False
2022-01-06;4;35;7;1;7;False
2022-01-07;3;33;5;0;8;False
2022-01-08;2;26;5;0;9;False
2022-01-09;3;28;5;1;7;False
2022-01-10;3;40;7;1;12;False
2022-01-11;3;40;6;1;10;False
2022-01-12;2;59;7;0;8;False
2022-01-13;5;45;6;0;12;False
2022-01-14;3;32;4;0;10;False
2022-01-15;3;22;2;0;8;False
2022-01-16;3;19;3;2;9;False
2022-01-17;4;39;7;1;8;False
2022-01-18;3;44;4;0;7;False
2022-01-19;5;100;2;0;9;False
2022-01-20;2;57;7;0;7;False
2022-01-21;4;41;8;1;5;False
2022-01-22;5;27;3;0;6;False
2022-01-23;2;31;3;0;8;False
2022-01-24;5;53;7;1;12;False
2022-01-25;3;47;6;2;6;False
2022-01-26;4;46;6;0;8;False
2022-01-27;5;40;5;0;9;False
2022-01-28;4;35;6;0;6;False
2022-01-29;3;30;3;0;7;False
2022-01-30;3;30;4;1;9;False
2022-01-31;3;36;6;1;10;False
