date;Vinyl;Boohoo;Taylor Wimpey;Houston;air travel;isPartial
2022-01-01;79;69;6;31;3;False
2022-01-02;87;82;8;19;6;False
2022-01-03;80;76;9;13;5;False
2022-01-04;81;79;15;15;5;False
2022-01-05;78;79;12;15;7;False
2022-01-06;72;76;15;17;5;False
2022-01-07;78;77;14;17;6;False
2022-01-08;100;71;11;19;6;False
2022-01-09;95;82;7;20;5;False
2022-01-10;86;87;17;18;9;False
2022-01-11;80;78;14;15;7;False
2022-01-12;76;79;15;14;6;False
2022-01-13;85;85;15;20;9;False
2022-01-14;77;76;13;22;7;False
2022-01-15;98;74;10;20;6;False
2022-01-16;94;84;12;21;6;False
2022-01-17;76;82;18;17;6;False
2022-01-18;72;71;16;15;5;False
2022-01-19;72;72;11;14;7;False
2022-01-20;73;73;13;16;5;False
2022-01-21;78;71;12;14;3;False
2022-01-22;96;72;12;25;5;False
2022-01-23;99;87;9;19;6;False
2022-01-24;95;97;18;16;9;False
2022-01-25;71;77;15;14;4;False
2022-01-26;71;82;13;14;6;False
2022-01-27;73;81;13;12;6;False
2022-01-28;76;83;14;17;4;False
2022-01-29;93;80;11;21;5;False
2022-01-30;86;85;7;17;6;False
2022-01-31;75;88;14;15;7;False
