date;religion;obituaries;pakistan;africa today podcasts;air travel;isPartial
2022-01-01;37;25;75;0;3;False
2022-01-02;41;26;76;0;6;False
2022-01-03;34;31;70;0;5;False
2022-01-04;34;38;69;0;5;False
2022-01-05;37;35;88;0;8;False
2022-01-06;34;38;71;0;6;False
2022-01-07;34;42;72;0;6;False
2022-01-08;35;29;100;0;7;False
2022-01-09;44;23;95;0;5;False
2022-01-10;42;39;82;0;10;False
2022-01-11;38;29;72;0;8;False
2022-01-12;36;42;73;0;7;False
2022-01-13;46;47;83;0;10;False
2022-01-14;32;38;71;0;8;False
2022-01-15;38;33;88;0;7;False
2022-01-16;42;26;83;0;7;False
2022-01-17;39;33;77;0;6;False
2022-01-18;32;32;73;0;6;False
2022-01-19;34;33;65;0;7;False
2022-01-20;33;43;73;0;5;False
2022-01-21;32;36;70;0;4;False
2022-01-22;34;30;74;0;5;False
2022-01-23;47;18;72;0;7;False
2022-01-24;45;33;91;0;10;False
2022-01-25;35;34;76;0;5;False
2022-01-26;31;33;79;0;6;False
2022-01-27;33;40;75;0;7;False
2022-01-28;30;35;76;0;5;False
2022-01-29;36;29;72;0;6;False
2022-01-30;37;21;71;0;7;False
2022-01-31;33;29;78;0;8;False
