date;Champions Cup;Harry Kane;GlaxoSmithKline;Mario Draghi;air travel;isPartial
2022-01-01;4;33;0;4;14;False
2022-01-02;10;25;3;0;26;False
2022-01-03;12;16;3;0;21;False
2022-01-04;10;22;6;0;22;False
2022-01-05;13;38;4;0;32;False
2022-01-06;12;9;3;0;25;False
2022-01-07;17;20;5;0;26;False
2022-01-08;19;35;2;0;29;False
2022-01-09;29;28;0;3;23;False
2022-01-10;21;20;6;0;40;False
2022-01-11;18;23;6;0;32;False
2022-01-12;15;42;3;4;28;False
2022-01-13;22;27;10;0;41;False
2022-01-14;24;20;5;0;34;False
2022-01-15;63;33;3;0;27;False
2022-01-16;65;23;3;0;30;False
2022-01-17;20;21;16;0;27;False
2022-01-18;11;14;3;0;24;False
2022-01-19;8;54;6;2;31;False
2022-01-20;24;40;8;0;22;False
2022-01-21;37;27;7;0;16;False
2022-01-22;65;43;0;0;22;False
2022-01-23;100;64;0;3;28;False
2022-01-24;34;34;4;3;40;False
2022-01-25;21;19;4;2;20;False
2022-01-26;6;13;0;3;26;False
2022-01-27;12;13;6;2;29;False
2022-01-28;17;10;4;0;20;False
2022-01-29;10;18;0;4;25;False
2022-01-30;15;24;0;0;29;False
2022-01-31;19;23;9;0;34;False
