date;lady gaga;leonardo dicaprio;olivia colman;ricky gervais;air travel;isPartial
2022-01-01;33;34;31;16;4;False
2022-01-02;22;32;23;9;7;False
2022-01-03;28;33;17;11;5;False
2022-01-04;15;23;11;9;6;False
2022-01-05;13;23;11;9;8;False
2022-01-06;12;21;12;9;7;False
2022-01-07;14;28;13;11;7;False
2022-01-08;25;29;16;13;8;False
2022-01-09;19;29;16;14;6;False
2022-01-10;11;20;9;14;10;False
2022-01-11;12;16;5;15;8;False
2022-01-12;11;15;6;14;7;False
2022-01-13;16;14;5;18;11;False
2022-01-14;17;17;6;74;9;False
2022-01-15;21;28;12;100;7;False
2022-01-16;18;22;11;87;8;False
2022-01-17;14;18;6;79;7;False
2022-01-18;12;13;5;68;6;False
2022-01-19;10;11;5;67;8;False
2022-01-20;11;10;6;56;6;False
2022-01-21;13;15;5;57;4;False
2022-01-22;27;19;9;58;6;False
2022-01-23;13;17;6;55;7;False
2022-01-24;16;12;4;43;10;False
2022-01-25;11;11;4;35;5;False
2022-01-26;14;11;3;33;7;False
2022-01-27;16;8;3;34;8;False
2022-01-28;18;11;2;36;5;False
2022-01-29;18;21;8;40;6;False
2022-01-30;18;13;5;34;8;False
2022-01-31;13;13;4;26;9;False
