date;PMQs;Court of appeal;Helen McCrory;Damian Lewis;air travel;isPartial
2022-01-01;0;0;55;5;4;False
2022-01-02;1;1;51;5;7;False
2022-01-03;0;0;25;3;5;False
2022-01-04;0;2;13;2;6;False
2022-01-05;34;3;10;2;8;False
2022-01-06;5;1;6;0;6;False
2022-01-07;2;2;11;1;7;False
2022-01-08;1;0;10;2;7;False
2022-01-09;0;3;7;1;6;False
2022-01-10;1;3;7;1;10;False
2022-01-11;8;1;4;1;8;False
2022-01-12;100;1;4;1;7;False
2022-01-13;5;1;3;2;10;False
2022-01-14;2;2;4;1;9;False
2022-01-15;1;3;6;1;7;False
2022-01-16;1;2;5;1;7;False
2022-01-17;1;2;2;2;7;False
2022-01-18;3;3;6;1;6;False
2022-01-19;68;1;3;1;8;False
2022-01-20;4;2;2;0;6;False
2022-01-21;2;2;5;2;4;False
2022-01-22;0;0;6;2;6;False
2022-01-23;1;2;5;2;7;False
2022-01-24;0;2;4;3;10;False
2022-01-25;4;2;3;3;5;False
2022-01-26;40;1;13;7;7;False
2022-01-27;2;1;9;3;7;False
2022-01-28;1;2;4;2;5;False
2022-01-29;1;1;5;4;6;False
2022-01-30;0;0;6;1;7;False
2022-01-31;7;3;4;4;9;False
