date;nobel prize;lin-manuel miranda;bill cosby;bradford;air travel;isPartial
2022-01-01;2;1;1;91;2;False
2022-01-02;2;0;1;89;4;False
2022-01-03;0;1;1;91;3;False
2022-01-04;2;0;1;90;3;False
2022-01-05;1;0;0;89;4;False
2022-01-06;2;1;1;88;3;False
2022-01-07;2;0;2;93;4;False
2022-01-08;2;0;0;91;4;False
2022-01-09;2;1;0;87;3;False
2022-01-10;2;0;1;88;5;False
2022-01-11;2;0;0;85;4;False
2022-01-12;2;1;1;80;4;False
2022-01-13;1;1;1;88;6;False
2022-01-14;1;0;1;83;5;False
2022-01-15;1;1;1;98;4;False
2022-01-16;2;0;0;90;4;False
2022-01-17;2;1;1;91;4;False
2022-01-18;2;0;0;80;3;False
2022-01-19;3;0;1;78;4;False
2022-01-20;2;0;1;80;3;False
2022-01-21;1;1;0;83;2;False
2022-01-22;2;1;0;90;3;False
2022-01-23;1;1;1;79;4;False
2022-01-24;2;1;0;96;5;False
2022-01-25;2;1;1;86;3;False
2022-01-26;2;0;0;85;4;False
2022-01-27;3;0;1;77;4;False
2022-01-28;2;1;0;89;3;False
2022-01-29;2;0;1;100;3;False
2022-01-30;2;0;1;82;4;False
2022-01-31;3;0;0;92;5;False
