date;Mo Farah;Olympic Games 2012;Athletics;Rudy Giuliani;air travel;isPartial
2022-01-01;7;0;51;0;20;False
2022-01-02;10;0;65;0;37;False
2022-01-03;9;0;58;0;30;False
2022-01-04;10;3;61;10;32;False
2022-01-05;0;0;65;0;46;False
2022-01-06;13;0;70;9;36;False
2022-01-07;5;0;62;4;38;False
2022-01-08;23;6;77;5;42;False
2022-01-09;4;0;69;11;33;False
2022-01-10;10;0;88;8;58;False
2022-01-11;6;0;66;3;47;False
2022-01-12;12;0;60;3;40;False
2022-01-13;12;0;71;4;60;False
2022-01-14;10;0;60;0;50;False
2022-01-15;6;6;88;0;39;False
2022-01-16;11;0;84;0;43;False
2022-01-17;19;0;74;6;39;False
2022-01-18;8;0;83;5;35;False
2022-01-19;7;0;52;14;44;False
2022-01-20;10;0;46;9;32;False
2022-01-21;6;0;62;8;23;False
2022-01-22;20;0;97;5;32;False
2022-01-23;12;0;93;0;41;False
2022-01-24;9;0;83;7;58;False
2022-01-25;10;5;59;0;29;False
2022-01-26;0;0;59;4;38;False
2022-01-27;9;0;53;6;43;False
2022-01-28;7;0;77;0;29;False
2022-01-29;8;0;80;0;36;False
2022-01-30;13;0;91;7;42;False
2022-01-31;10;0;100;0;49;False
