date;Mother Teresa;Narendra Modi;ITV News;News agencies;air travel;isPartial
2022-01-01;2;0;54;0;7;False
2022-01-02;1;2;67;0;14;False
2022-01-03;1;0;49;0;11;False
2022-01-04;3;2;53;0;12;False
2022-01-05;4;6;50;0;17;False
2022-01-06;4;1;44;0;13;False
2022-01-07;2;1;42;1;14;False
2022-01-08;1;2;45;0;15;False
2022-01-09;0;0;42;0;12;False
2022-01-10;2;0;64;0;21;False
2022-01-11;2;0;53;0;17;False
2022-01-12;3;2;55;0;15;False
2022-01-13;5;0;60;2;22;False
2022-01-14;2;3;52;0;18;False
2022-01-15;2;0;46;0;14;False
2022-01-16;2;0;52;0;16;False
2022-01-17;1;2;52;0;14;False
2022-01-18;2;2;56;1;13;False
2022-01-19;3;2;52;0;16;False
2022-01-20;2;0;59;1;12;False
2022-01-21;3;2;59;0;8;False
2022-01-22;0;0;49;0;11;False
2022-01-23;2;0;49;0;15;False
2022-01-24;8;0;100;0;21;False
2022-01-25;5;1;78;1;11;False
2022-01-26;2;3;81;0;14;False
2022-01-27;4;1;61;0;15;False
2022-01-28;2;0;61;0;11;False
2022-01-29;7;0;50;0;13;False
2022-01-30;3;0;39;0;15;False
2022-01-31;4;1;63;0;18;False
